Question,Answer
Are rates inclusive of travel?,"No, our rates do not include travel. Travel is calculated at R4 per kilometer (round trip) outside a 50km radius from Sandton City, Johannesburg."
What's included in a show?,"A full show includes choreographed performance, music, costume, and audience interaction. Duration varies by package (typically 20 minutes for stripper shows)."
How do we book?,Fill out our booking form with your event details. We'll calculate a quote including performance fee and travel. Once confirmed, we lock in your chosen performers.
Do you operate outside Gauteng?,Yes! We service all of South Africa. Travel fees apply based on distance from Johannesburg.
What do I need for a show?,"You need: (1) A change room or prep area near the performance space, (2) Water for performers, (3) A chair without arms (not a bar stool), (4) A sound system louder than your guests, (5) Semi-circle seating arrangement with guest of honor in center."
How long does a show take?,"Total time is approximately 1 hour: 15 minutes setup, 20 minutes performance, 15 minutes pack up, 15 minutes for photos and mingling."
Should we lock away pets?,"Yes, please secure all pets during the performance for safety and to avoid distractions."
What are topless waiters?,"Professional, well-groomed male waiters wearing only black pants. They serve drinks, interact with guests, and add entertainment value to your event."
What are bottomless waiters?,A naughtier option where waiters wear an apron and g-string. They serve drinks and provide adult entertainment.
Can we request specific guys?,"Yes! Once you book and select your performers, they are locked in for your event - no last-minute substitutions."
What about bottomless shows?,We offer fully customizable shows. Discuss your preferences when booking and we'll accommodate your requests.
What are the naughty games?,"Interactive 30-45 minute entertainment including party games, audience participation, and MC services to keep your event lively."
